R01196,K00169,K00170,K00172,K00171,OR,K03737,OR,K00174,K00175,,,,,,,,,,,,,,,
R03270,K00163,OR,K00161,K00162,,,,,,,,,,,,,,,,,,,,
R00014,K00163,OR,K00161,K00162,,,,,,,,,,,,,,,,,,,,
R00344,K01958,OR,K01959,K01960,,,,,,,,,,,,,,,,,,,,
R00352,ACLY,OR,aclA,aclB,,,,,,,,,,,,,,,,,,,,
R01325,K01681,K01682,,,,,,,,,,,,,,,,,,,,,,
R01900,K01681,K01682,,,,,,,,,,,,,,,,,,,,,,
R01082,"fumA, fumB",OR,fumA,fumB,OR,fumC,,,,,,,,,,,,,,,,,,
R01197,K00174,K00175,K00177,K00176,OR,K00174,K00175,,,,,,,,,,,,,,,,,
R00432,K01899,K01900,,,,,,,,,,,,,,,,,,,,,,
R00405,K01902,K01903,OR,K01899,K01900,,,,,,,,,,,,,,,,,,,
R02164,K00244,K00245,K00246,K00247,OR,K00239,K00240,K00241,K00242,OR,K00239,K00240,K00241,K18859,OR,K00239,K00240,K00241,K18860,OR,K00234,K00235,K00236,K00237